layoutstring,total penalty per letter,key position cost,finger repeats,disbalance of fingers,top to bottom or vice versa,handswitching in trigram,(rows²/dist)²,shortcut keys,handswitching after unbalancing,movement pattern,hand disbalance, manual penalty, neighboring unbalance, asymmetric bigrams, asymmetric similar keys, irregularity, regularity segments mean,regularity segments std,regularity words mean,regularity words std
"urneü_gtsih⇘-ßlmyä_qpfakvj-cxzoö_bd,.w",9.321877843478987,48.67880823184846,55.14096424,24.394469532437878,8.553617482585382,22.959737686516178,97.33971550290528,0.36597309448071924,10.274861477995291,32.71299189218151,0.2697911955435526,18.353727803884546,10.584166883037945,0.8866237789129813,9.243487277760842,1.39671199483538,996.3669421973425,262.3622692599835,890.6813721452734,1689.9932653540839
"hnrtl_cdeia⇘-ßfsgz_öwouüäj-kyxpq_bm,.v",9.763053429729569,68.02436265501105,51.99234532,21.974123077803387,7.765659285304526,13.330080738627386,107.59961145420984,1.0979192834421578,13.11776965726803,27.1669759265971,0.8898813206915076,16.125920592553776,13.151434253662662,0.858119025755394,12.62723620910651,1.5800487258396965,1187.2976508622933,319.6460721753572,767.7696351037391,1119.8599982971223
"mnltk_äeusd⇘-jbrgq_öüiwzxß-cfypv_oa,.h",9.662869587415736,56.58701437911178,58.54672738,26.66427743897162,8.508643818464847,13.371185346020662,108.04076944392618,1.0979192834421578,12.711624101621727,23.542472497441334,1.7733880463298817,16.73268684114442,9.902215300852564,0.8839736662395429,13.649703806458765,1.6224270969913044,989.454373756088,274.4469391604982,775.7966924095905,1018.5530337175146
"irstd_wnaeh⇘-ülmgj_öboäzqß-uxkcy_pf,.v",9.83925582761648,40.64211772147505,54.4595649,28.16379531405035,8.115791631589417,19.557533840606265,118.03098569374933,1.0979192834421578,12.029307942316033,32.69130615868401,0.06568056449753461,18.161209643972978,12.569318112479472,0.8720236044079226,12.196181988741516,1.437553862013316,1149.5957723883457,330.77709729269986,801.5053634413147,893.6001720756567
"utenp_bhisr⇘-ßkovq_fgamäzj-cyülö_wd,.x",9.582575744399254,49.97095898367099,54.68069016,23.626312623286275,9.063558757318596,17.67328074903662,98.99290747933333,0.7319461889614385,14.668022345721138,32.91674316938245,0.049997277077206755,18.569203187595793,13.051772692398384,0.891931876824584,14.096037716904139,1.7131266198567607,1164.2451762434403,321.1497339497959,854.0033967505045,1294.9080015352404
"uranp_ksetd⇘-älibz_ömogvqß-yxücj_wf,.h",9.749326694727454,52.97977994083973,54.1170331,22.718260779784828,8.230257654636715,18.66040771285221,108.30254786214172,1.0979192834421578,10.995179761985126,37.114739366547234,0.9662866476709573,15.831202079015817,11.410329180016905,0.895927389274248,11.810590849227724,1.6686643498535463,1091.3742691002794,295.4410429890328,781.6610376185472,1204.0145473547377
"grntü_mseiu⇘-älpkö_jfoaqxß-czvdy_wb,.h",9.612967379340116,49.47531916941169,57.49981506,23.030127984714678,8.878994394958264,15.190400844183452,106.05311899185884,0.36597309448071924,10.782129792072409,34.97259809124375,1.7525162060665551,18.164739833742136,13.295596518141771,0.8566488569358226,9.9107351210651,1.5800279370560915,1134.062474380344,316.44903470168515,785.150807886667,705.4033567882626
"mrneo_kisth⇘-ßlwöä_üvbdgzj-cxyaq_pu,.f",9.627151087660852,55.694925365071725,55.2751913,26.141797555251884,7.494239223786493,22.72612921236629,105.4299632881377,0.7319461889614385,12.79952912795773,24.37718030939274,0.9119367591422999,18.953452659073413,12.678307281528275,0.8808060966286697,6.238919346265991,1.9935037449018658,1101.2181221083522,307.8274052162294,760.0514990735501,713.0861735471573
"rsntc_äaewh⇘-jflpq_öüoukxß-ymzgb_vi,.d",9.750505973682532,58.723314884477816,58.93522082,27.24488718824836,8.090622772907755,9.79828385556847,115.05529716502497,1.0979192834421578,12.83730362446522,22.388319304255646,0.5865046557558954,16.755384694669182,11.236750468771334,0.8678354802049936,11.492152620308495,1.7324875760330996,973.005246399088,297.4044125239592,752.2659715652511,973.1881053636966
"usrnh_yeatc⇘-üglpq_öäidfjß-kmzbv_xo,.w",9.63262561562106,59.20149371108885,55.30854634,20.99917045801806,9.183453971717118,15.959260008196221,107.56486548245923,1.0979192834421578,12.040499544312063,27.75881653500239,1.0496496209243877,16.491583307853237,11.614347916867732,0.8659633578323077,11.847372374356489,1.5452385402380446,1099.6826036653308,333.6058463272503,721.3303108207211,730.1404251759513
